Category,URL,Title,Status,Total,Pending,Done
,,,,186,167,19
GENERAL,https://cloud.google.com/certification/cloud-security-engineer,Professional Cloud Security Engineer - Exam Overview,DONE,,,
GENERAL,https://cloud.google.com/certification/guides/cloud-security-engineer/,Professional Cloud Security Engineer - Certification exam guide,DONE,,,
GENERAL,https://cloud.google.com/security/,GCP Security Overview,DONE,,,
GENERAL,https://cloud.google.com/security/overview/whitepaper,Google security whitepaper,DONE,,,
GENERAL,https://services.google.com/fh/files/helpcenter/google_encryptionwp2016.pdf?utm_medium=et&utm_source=google.com%2Fcloud&utm_campaign=gdpr&utm_content=commitments_to_the_gdpr,How Google Uses Encryption to Protect Your Data,DONE,,,
GENERAL,https://cloud.google.com/security/infrastructure/design/,Google Infrastructure Security Design Overview,TODO,,,
GENERAL,https://en.wikipedia.org/wiki/Security_information_and_event_management,Security information and event management,TODO,,,
GENERAL,https://cloud.google.com/files/GCPDDoSprotection-04122016.pdf,Best Practices for DDoS Protection and Mitigation on Google Cloud Platform,TODO,,,
GENERAL,https://medium.com/google-cloud/gcp-checklist-2-securing-your-gcp-resources-7c5140c12f8c,GCP Checklist 2 — Securing your GCP resources,DONE,,,
GENERAL,https://medium.com/google-cloud/google-cloud-platform-container-threat-detection-and-protection-a40ef4403bca,Google Cloud Platform Container and VM Threat Detection And Protection,DONE,,,
GENERAL,https://cloud.google.com/docs/enterprise/best-practices-for-enterprise-organizations,Best practices for enterprise organizations,DONE,,,
GENERAL,https://medium.com/google-cloud/gcp-products-described-in-4-words-or-less-f3056550e595,GCP products described in 4 words or less,TODO,,,
,,,,,,
COMPLIANCE,https://cloud.google.com/security/compliance/,"Standards, regulations & certifications",TODO,,,
COMPLIANCE,https://cloud.google.com/security/gdpr/,Google Cloud & the General Data Protection Regulation (GDPR),TODO,,,
COMPLIANCE,https://cloud.google.com/security/compliance/pci-dss/,PCI DSS - Protecting customers’ card information.,TODO,,,
COMPLIANCE,https://cloud.google.com/solutions/pci-dss-compliance-in-gcp,PCI Data Security Standard compliance,TODO,,,
COMPLIANCE,https://cloud.google.com/security/compliance/hipaa/,HIPAA Compliance on Google Cloud Platform,TODO,,,
COMPLIANCE,https://cloud.google.com/solutions/architecture-hipaa-aligned-project,Architecture: HIPAA-aligned Cloud Healthcare,TODO,,,
COMPLIANCE,https://cloud.google.com/security/compliance/coppa/,COMPLIANCE,TODO,,,
,,,,,,
ENCRYPTION,https://cloud.google.com/security/encryption-at-rest/,ENCRYPTION AT REST,TODO,,,
ENCRYPTION,https://cloud.google.com/security/encryption-in-transit/application-layer-transport-security/,Application Layer Transport Security,TODO,,,
ENCRYPTION,https://cloud.google.com/security/encryption-in-transit/,Encryption in Transit in Google Cloud,TODO,,,
ENCRYPTION,https://cloud.google.com/security/encryption-at-rest/customer-supplied-encryption-keys/,Customer-Supplied Encryption Keys,TODO,,,
GENERAL,https://www.youtube.com/watch?v=ZQHoC0cR6Qw,A Security Practitioners Guide to Best Practice GCP Security (Cloud Next '18),TODO,,,
GENERAL,https://www.youtube.com/watch?v=SODBxR_h7g0,Blending GCP Security Controls (Cloud Next '18),TODO,,,
,,,,,,
COURSES,https://www.coursera.org/learn/managing-security-in-google-cloud-platform,Managing Security in Google Cloud Platform,TODO,,,
COURSES,https://www.coursera.org/learn/mitigating-security-vulnerabilites-gcp,Mitigating Security Vulnerabilities on Google Cloud Platform,TODO,,,
COURSES,https://linuxacademy.com/course/google-security-essentials/,Google Cloud Security Essentials,TODO,,,
,,,,,,
GCE,https://cloud.google.com/compute/docs/images,Images,TODO,,,
GCE,https://cloud.google.com/compute/docs/images/guest-environment,Guest environment,TODO,,,
GCE,https://cloud.google.com/compute/docs/instances/os-inventory-management,OS Inventory Management,TODO,,,
GCE,https://cloud.google.com/security/shielded-cloud/shielded-vm,Shielded VM,TODO,,,
GCE,https://cloud.google.com/compute/docs/nodes/,Sole-tenant nodes,TODO,,,
GCE,https://cloud.google.com/compute/docs/disks/,Storage Options,TODO,,,
GCE,https://cloud.google.com/compute/docs/disks/customer-supplied-encryption,Encrypt Disks with Customer-Supplied Encryption Keys,TODO,,,
GCE,https://cloud.google.com/compute/docs/disks/customer-managed-encryption,Protecting Resources with Cloud KMS Keys,TODO,,,
GCE,https://cloud.google.com/compute/docs/instances/adding-removing-ssh-keys,Managing SSH keys in metadata,TODO,,,
GCE,https://cloud.google.com/compute/docs/access/,Access control overview,TODO,,,
GCE,https://cloud.google.com/compute/docs/access/iam,Compute Engine IAM roles,TODO,,,
GCE,https://cloud.google.com/compute/docs/access/service-accounts,Service accounts,TODO,,,
GCE,https://cloud.google.com/compute/docs/oslogin/,OS Login,TODO,,,
,,,,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/concepts/multitenancy-overview,Cluster multi-tenancy,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/iam,Creating Cloud IAM policies,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/role-based-access-control,Role-based access control,TODO,,,
GKE,https://medium.com/uptime-99/making-sense-of-kubernetes-rbac-and-iam-roles-on-gke-914131b01922,Making Sense of Kubernetes RBAC and IAM Roles on GKE,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/cluster-access-for-kubectl,Configuring cluster access for kubectl,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/concepts/security-overview,Security overview,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/authorized-networks,Adding authorized networks for cluster master access,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/private-clusters,Setting up a private cluster,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/credential-rotation,Credential rotation,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/alias-ips,Creating a VPC-native cluster,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/concepts/control-plane-security,Control plane security,TODO,,,
GKE,https://cloud.google.com/container-optimized-os/docs/concepts/security,Container-Optimized OS - Security Overview,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/upgrading-a-cluster,Upgrading a cluster,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/node-auto-upgrades,Auto-upgrading nodes,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/protecting-cluster-metadata,Protecting cluster metadata,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/concepts/audit-policy,Audit policy,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/concepts/configmap,ConfigMap,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/concepts/secret,Secret,TODO,,,
GKE,https://kubernetes.io/docs/concepts/configuration/secret/,Secrets,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/encrypting-secrets,Application-layer Secrets Encryption,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/concepts/cluster-trust,Cluster trust,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/concepts/access-control,Access control overview,TODO,,,
GKE,https://cloud.google.com/solutions/prep-kubernetes-engine-for-prod,Preparing a Kubernetes Engine Environment for Production,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/workload-identity,Workload Identity,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/tutorials/authenticating-to-cloud-platform,Authenticating to Cloud Platform with Service Accounts,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/concepts/network-overview,Network overview,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/network-policy,Creating a cluster network policy,TODO,,,
GKE,https://cloud.google.com/istio/docs/istio-on-gke/overview,Istio on GKE,TODO,,,
GKE,https://cloud.google.com/iap/docs/enabling-kubernetes-howto,Enabling Cloud IAP for GKE,TODO,,,
GKE,https://cloud.google.com/kubernetes-engine/docs/how-to/hardening-your-cluster,Hardening your cluster's security,TODO,,,
,,,,,,
Container Registry,https://cloud.google.com/container-registry/docs/container-analysis,Container Analysis,TODO,,,
Container Registry,https://cloud.google.com/container-registry/docs/get-image-vulnerabilities,Getting vulnerabilities and metadata for images,TODO,,,
Container Registry,https://cloud.google.com/container-registry/docs/access-control,Configuring access control,TODO,,,
Container Registry,https://cloud.google.com/container-registry/docs/container-analysis-audit-logging,Container Analysis Audit logging information,TODO,,,
Container Registry,https://cloud.google.com/container-registry/docs/managed-base-images,Managed base images,DONE,,,
,,,,,,
Container security,https://cloud.google.com/containers/security/,Container security,DONE,,,
,,,,,,
Binary Authorization,https://cloud.google.com/binary-authorization/docs/overview,Overview,TODO,,,
Binary Authorization,https://cloud.google.com/binary-authorization/docs/key-concepts,Key concepts,TODO,,,
Binary Authorization,https://cloud.google.com/binary-authorization/docs/cloud-build,Cloud Build integration,TODO,,,
Binary Authorization,https://cloud.google.com/binary-authorization/docs/vulnerability-scanning,Vulnerability Scanning integration,TODO,,,
,,,TODO,,,
GAE,https://cloud.google.com/appengine/docs/standard/java/application-security,Application Security,TODO,,,
GAE,https://cloud.google.com/appengine/docs/standard/java/securing-custom-domains-with-ssl,Securing Custom Domains with SSL,TODO,,,
GAE,https://cloud.google.com/appengine/docs/standard/java/access-control,Access Control,TODO,,,
GAE,https://cloud.google.com/appengine/docs/standard/java/granting-project-access,Granting Project Access,TODO,,,
GAE,https://cloud.google.com/appengine/docs/standard/java/oauth/,User Authentication Options,TODO,,,
GAE,https://cloud.google.com/appengine/docs/standard/java/creating-firewalls,Controlling Access with Firewalls,TODO,,,
,,,,,,
Cloud Functions,https://cloud.google.com/functions/docs/securing/authenticating,"Authenticating Developers, Functions, and End-users",TODO,,,
Cloud Functions,https://cloud.google.com/functions/docs/securing/managing-access,Managing Access via IAM,TODO,,,
Cloud Functions,https://cloud.google.com/functions/docs/securing/function-identity,Function Identity,TODO,,,
,,,,,,
GCS,https://cloud.google.com/storage/docs/storage-classes,Storage classes,TODO,,,
GCS,https://cloud.google.com/storage/docs/lifecycle,Object Lifecycle Management,TODO,,,
GCS,https://cloud.google.com/storage/docs/bucket-lock,Retention policies using Bucket Lock,TODO,,,
GCS,https://cloud.google.com/storage/docs/audit-logs,Cloud Audit Logs with Cloud Storage,TODO,,,
GCS,https://cloud.google.com/storage/docs/cross-origin,Cross-origin resource sharing (CORS),TODO,,,
GCS,https://cloud.google.com/storage/docs/access-control/,Access control options,TODO,,,
GCS,https://cloud.google.com/storage/docs/access-control/iam,Cloud Identity and Access Management,TODO,,,
GCS,https://cloud.google.com/storage/docs/access-control/lists,Access control lists (ACLs),TODO,,,
GCS,https://cloud.google.com/storage/docs/access-control/signed-urls,Signed URLs,TODO,,,
GCS,https://cloud.google.com/storage/docs/xml-api/post-object#policydocument,Policy Document,TODO,,,
GCS,https://cloud.google.com/storage/docs/bucket-policy-only,Bucket Policy Only,TODO,,,
GCS,https://cloud.google.com/storage/docs/encryption/,,TODO,,,
GCS,https://cloud.google.com/storage/docs/encryption/default-keys,Google-managed encryption keys,TODO,,,
GCS,https://cloud.google.com/storage/docs/encryption/customer-supplied-keys,Customer-supplied encryption keys,TODO,,,
GCS,https://cloud.google.com/storage/docs/encryption/customer-managed-keys,Customer-managed encryption keys,TODO,,,
GCS,https://cloud.google.com/storage/docs/encryption/client-side-keys,Client-side encryption keys,TODO,,,
GCS,https://cloud.google.com/storage/docs/gsutil/addlhelp/SecurityandPrivacyConsiderations,Security and Privacy Considerations,TODO,,,
GCS,https://cloud.google.com/storage/docs/domain-name-verification,Domain-named bucket verification,TODO,,,
GCS,https://cloud.google.com/storage/docs/pubsub-notifications,Cloud Pub/Sub notifications for Cloud Storage,TODO,,,
GCS,https://cloud.google.com/storage/docs/object-change-notification,Object change notification,TODO,,,
GCS,https://cloud.google.com/storage/docs/object-versioning,Object Versioning,TODO,,,
,,,,,,
Cloud IAM,https://cloud.google.com/iam/docs/overview,Overview,TODO,,,
Cloud IAM,https://cloud.google.com/iam/docs/understanding-roles,Understanding roles,TODO,,,
Cloud IAM,https://cloud.google.com/iam/docs/understanding-custom-roles,Understanding IAM custom roles,TODO,,,
Cloud IAM,https://cloud.google.com/iam/docs/service-accounts,Service accounts,TODO,,,
Cloud IAM,https://cloud.google.com/iam/docs/resource-hierarchy-access-control,Using resource hierarchy for access control,TODO,,,
Cloud IAM,https://cloud.google.com/iam/docs/understanding-service-accounts,Understanding service accounts,TODO,,,
Cloud IAM,https://cloud.google.com/iam/docs/using-iam-securely,Using IAM securely,TODO,,,
Cloud IAM,https://medium.com/techking/key-rotation-in-google-cloud-3ee8ff0a7828,Key Rotation in Google Cloud,TODO,,,
Cloud IAM,https://medium.com/@doctusoft/how-to-make-your-google-cloud-platform-project-more-secure-iam-245dcf05b18f,How to make your Google Cloud Platform project more secure: IAM,TODO,,,
,,,,,,
Security key enforcement,https://cloud.google.com/security-key/,Security key enforcement,DONE,,,
Security key enforcement,https://cloud.google.com/titan-security-key/,Titan Security Key,DONE,,,
Security key enforcement,https://landing.google.com/advancedprotection/,Advanced Protection Program,DONE,,,
,,,,,,
VPC,https://cloud.google.com/vpc/docs/overview,Overview of Virtual Private Cloud,TODO,,,
VPC,https://cloud.google.com/vpc/docs/vpc,Virtual Private Cloud (VPC) network overview,TODO,,,
VPC,https://cloud.google.com/vpc/docs/firewalls,Firewall rules overview,TODO,,,
VPC,https://cloud.google.com/vpc/docs/private-access-options,Private access options for services,TODO,,,
VPC,https://cloud.google.com/vpc/docs/shared-vpc,Shared VPC overview,TODO,,,
VPC,https://cloud.google.com/vpc/docs/vpc-peering,VPC Network Peering,TODO,,,
VPC,https://cloud.google.com/vpn/docs/concepts/overview,Cloud VPN overview,TODO,,,
VPC,https://cloud.google.com/vpn/docs/resources/best-practices,Cloud VPN best practices,TODO,,,
VPC,https://cloud.google.com/interconnect/docs/concepts/overview,Cloud Interconnect Overview,TODO,,,
VPC,https://cloud.google.com/interconnect/docs/concepts/terminology,Cloud Interconnect - Key Terminology,TODO,,,
VPC,https://cloud.google.com/interconnect/docs/how-to/choose-type,Choose an interconnect type,TODO,,,
VPC,https://cloud.google.com/vpc-service-controls/docs/overview,Overview of VPC Service Controls,TODO,,,
VPC,https://cloud.google.com/vpc-service-controls/docs/on-premises-access,Private connectivity from on-premises,TODO,,,
VPC,https://cloud.google.com/vpc/docs/using-flow-logs,Using VPC Flow Logs,TODO,,,
VPC,https://cloud.google.com/vpc/docs/multiple-interfaces-concepts,Multiple network interfaces overview and examples,TODO,,,
,,,,,,
Cloud DNS,https://cloud.google.com/dns/docs/dnssec,DNS Security (DNSSEC),DONE,,,
,,,,,,
Cloud NAT,https://cloud.google.com/nat/docs/overview,Cloud NAT,TODO,,,
,,,,,,
CLOUD IDENTITY,https://cloud.google.com/identity/docs/concepts/overview,Overview,TODO,,,
CLOUD IDENTITY,https://cloud.google.com/identity/docs/concepts/groups,Groups,TODO,,,
CLOUD IDENTITY,https://cloud.google.com/solutions/federating-gcp-with-active-directory-introduction,Federating Google Cloud Platform with Active Directory: Introduction,TODO,,,
CLOUD IDENTITY,https://cloud.google.com/solutions/authenticating-corporate-users-in-a-hybrid-environment,Authenticating corporate users in a hybrid environment,TODO,,,
CLOUD IDENTITY,https://cloud.google.com/solutions/patterns-for-authenticating-corporate-users-in-a-hybrid-environment,Patterns for authenticating corporate users in a hybrid environment,TODO,,,
,,,,,,
Identity Platform,https://cloud.google.com/identity-platform/docs/concepts-authentication,Authentication,TODO,,,
Identity Platform,https://cloud.google.com/security/compliance/hipaa/identity-platform,Identity Platform: HIPAA Implementation Guide,TODO,,,
,,,,,,
CLOUD DLP,https://cloud.google.com/dlp/,Cloud Data Loss Prevention,TODO,,,
CLOUD DLP,https://cloud.google.com/dlp/docs/concepts-actions,Actions,TODO,,,
CLOUD DLP,https://cloud.google.com/dlp/docs/inspecting-storage,Inspecting storage and databases for sensitive data,TODO,,,
CLOUD DLP,https://cloud.google.com/dlp/docs/creating-custom-infotypes,Creating custom infoType detectors,TODO,,,
CLOUD DLP,https://cloud.google.com/dlp/docs/classification-redaction,"Classification, redaction, and de-identification",TODO,,,
CLOUD DLP,https://cloud.google.com/dlp/docs/concepts-date-shifting,Date shifting,TODO,,,
CLOUD DLP,https://cloud.google.com/security/data-loss-prevention/preventing-data-exfiltration,Preventing Data Exfiltration,TODO,,,
,,,,,,
CLOUD KMS,https://cloud.google.com/kms/docs/object-hierarchy,Object hierarchy,TODO,,,
CLOUD KMS,https://cloud.google.com/kms/docs/algorithms,Key purposes and algorithms,TODO,,,
CLOUD KMS,https://cloud.google.com/kms/docs/key-rotation,Key rotation,TODO,,,
CLOUD KMS,https://cloud.google.com/kms/docs/asymmetric-key-rotation,Asymmetric key rotation,TODO,,,
CLOUD KMS,https://cloud.google.com/kms/docs/re-encrypt-data,Re-encrypting data,TODO,,,
CLOUD KMS,https://cloud.google.com/kms/docs/separation-of-duties,Separation of duties,TODO,,,
CLOUD KMS,https://cloud.google.com/kms/docs/secret-management,Secret management with Cloud KMS,TODO,,,
CLOUD KMS,https://cloud.google.com/kms/docs/envelope-encryption,Envelope encryption,TODO,,,
CLOUD KMS,https://cloud.google.com/kms/docs/asymmetric-encryption,Asymmetric encryption,TODO,,,
CLOUD KMS,https://cloud.google.com/kms/docs/hsm,Cloud HSM,TODO,,,
,,,,,,
Load Balancer,https://cloud.google.com/load-balancing/docs/load-balancing-overview,Overview of Load Balancing,TODO,,,
,,,,,,
Source Repositories,https://cloud.google.com/source-repositories/docs/detecting-security-keys,Detecting security keys,TODO,,,
,,,TODO,,,
Cloud Armor,https://cloud.google.com/armor/docs/security-policy-concepts,Google Cloud Armor Security Policy Concepts,TODO,,,
Cloud Identity-Aware Proxy,https://cloud.google.com/iap/docs/concepts-overview,Cloud Identity-Aware Proxy overview,TODO,,,
Cloud Identity-Aware Proxy,https://cloud.google.com/iap/docs/signed-headers-howto,Securing your app with signed headers,TODO,,,
Cloud Identity-Aware Proxy,https://cloud.google.com/iap/docs/cloud-iap-for-on-prem-apps-overview,Overview of Cloud IAP for on-premises apps,TODO,,,
Cloud Identity-Aware Proxy,https://cloud.google.com/iap/docs/concepts-best-practices,Best practices,TODO,,,
Cloud Identity-Aware Proxy,https://cloud.google.com/iap/docs/tcp-forwarding-overview,Overview of TCP forwarding,TODO,,,
,,,TODO,,,
Security Scanner,https://cloud.google.com/security-scanner/docs/overview,Overview of Cloud Security Scanner,DONE,,,
,,,,,,
Access Transparency,https://cloud.google.com/access-transparency/,Access Transparency,TODO,,,
Cloud Audit Logs,https://cloud.google.com/logging/docs/audit/,Cloud Audit Logs,TODO,,,
Cloud Security Command Center,https://cloud.google.com/security-command-center/docs/concepts-overview,Cloud SCC conceptual overview,TODO,,,
Event Threat Detection (beta),https://cloud.google.com/event-threat-detection/,Event Threat Detection,TODO,,,
Resource Manager,https://cloud.google.com/resource-manager/,Resource Manager,TODO,,,
Resource Manager,https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy,Resource Hierarchy,TODO,,,
Resource Manager,https://cloud.google.com/resource-manager/docs/cloud-asset-inventory/overview,Introduction to Cloud Asset Inventory,TODO,,,
,,,TODO,,,
API Management,https://cloud.google.com/apigee/api-management/,API Management Platform,TODO,,,
API Management,https://cloud.google.com/endpoints/,CLOUD ENDPOINTS,TODO,,,
,,,TODO,,,
Forseti,https://forsetisecurity.org/docs/latest/concepts/architecture.html,Architecture,DONE,,,
Forseti,https://forsetisecurity.org/docs/latest/concepts/best-practices.html,Best Practices,DONE,,,
,,,,,,
General,https://www.beyondtrust.com/blog/entry/provide-security-privileged-accounts-with-break-glass-process,PROVIDE SECURITY FOR PRIVILEGED ACCOUNTS WITH A BREAK GLASS PROCESS,DONE,,,
,,,,,,
PRACTICE EXAM,https://cloud.google.com/certification/practice-exam/cloud-security-engineer/,Cloud Security Engineer practice exam,DONE,,,